City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Kavieng,PG,2022-11-19 18:01:50,-2.5744,150.7967,82.02,70,69,9.42
67,Cherskiy,RU,2022-11-19 18:02:52,68.75,161.3,-9.49,97,100,12.93
68,Victoria,HK,2022-11-19 18:01:22,22.2855,114.1577,77.18,88,99,5.01
69,Abu Dhabi,AE,2022-11-19 18:02:53,24.4667,54.3667,80.71,72,0,3.44
70,Pouebo,NC,2022-11-19 18:05:00,-20.4,164.5667,72.52,85,31,5.5
71,Nyurba,RU,2022-11-19 18:05:00,63.2842,118.3319,1.87,93,100,8.12
72,Hirara,JP,2022-11-19 18:05:00,24.8,125.2833,76.05,74,0,4.12
73,Souillac,MU,2022-11-19 18:02:44,-20.5167,57.5167,73.29,70,8,6.67
74,Raudeberg,NO,2022-11-19 18:05:01,61.9875,5.1352,35.96,58,6,4.61
75,Dejen,ET,2022-11-19 18:05:01,10.1667,38.1333,56.95,40,59,4.76
76,Hobart,AU,2022-11-19 17:57:05,-42.8794,147.3294,56.26,96,100,0.0
77,Port Augusta,AU,2022-11-19 18:05:02,-32.5,137.7667,57.99,56,44,12.55
78,Yanacancha,PE,2022-11-19 18:05:03,-10.2411,-76.6456,54.9,39,100,8.32
79,Airai,TL,2022-11-19 18:05:03,-8.9266,125.4092,61.97,95,100,1.52
80,Mount Isa,AU,2022-11-19 18:05:03,-20.7333,139.5,74.97,78,100,6.91
81,Puerto Ayora,EC,2022-11-19 18:02:03,-0.7393,-90.3518,71.55,92,99,10.0
82,Yellowknife,CA,2022-11-19 17:57:28,62.456,-114.3525,14.56,79,75,8.05
83,Vostok,RU,2022-11-19 18:01:37,46.4856,135.8833,22.53,90,100,5.41
84,Richards Bay,ZA,2022-11-19 18:05:04,-28.783,32.0377,69.37,89,100,18.03
85,Cidreira,BR,2022-11-19 18:01:48,-30.1811,-50.2056,73.45,69,5,21.97
86,Totness,SR,2022-11-19 18:05:05,5.8833,-56.3167,83.08,72,88,10.04
87,Ilulissat,GL,2022-11-19 18:05:06,69.2167,-51.1,10.54,86,99,3.04
88,Ampanihy,MG,2022-11-19 18:05:06,-24.7,44.75,76.59,58,52,6.49
89,Nikolskoye,RU,2022-11-19 18:01:37,59.7035,30.7861,22.91,73,48,7.0
90,East London,ZA,2022-11-19 18:06:07,-33.0153,27.9116,64.4,69,24,14.74
91,Thompson,CA,2022-11-19 18:01:58,55.7435,-97.8558,2.88,82,96,6.82
92,Narsaq,GL,2022-11-19 18:06:07,60.9167,-46.05,26.82,79,100,5.55
93,Hermosillo,MX,2022-11-19 18:01:57,29.0667,-110.9667,72.21,38,0,1.99
94,Acarau,BR,2022-11-19 18:06:08,-2.8856,-40.12,85.98,55,80,16.93
95,Norman Wells,CA,2022-11-19 18:06:08,65.282,-126.8329,21.24,94,100,3.6
96,Cheney,US,2022-11-19 18:04:18,47.4874,-117.5758,25.25,74,0,10.36
97,Calbuco,CL,2022-11-19 18:06:10,-41.768,-73.1273,54.61,90,100,4.99
98,Santa Rosa,PH,2022-11-19 18:06:10,14.3122,121.1114,77.09,96,100,3.38
99,Cape Town,ZA,2022-11-19 17:57:57,-33.9258,18.4232,65.26,64,20,12.66
100,Albany,US,2022-11-19 18:00:29,42.6001,-73.9662,39.38,54,25,1.01
101,Medicine Hat,CA,2022-11-19 18:05:18,50.0501,-110.6683,28.72,69,50,11.36
102,Dedougou,BF,2022-11-19 18:06:11,12.4667,-3.4667,84.27,20,50,3.38
103,Hilo,US,2022-11-19 18:06:12,19.7297,-155.09,75.25,88,75,3.44
104,Ponta Do Sol,PT,2022-11-19 18:06:12,32.6667,-17.1,66.83,64,81,7.54
105,Kovdor,RU,2022-11-19 18:06:13,67.5662,30.4758,15.87,98,78,4.0
106,Imamoglu,TR,2022-11-19 18:06:13,37.2651,35.6572,63.63,68,8,3.0
107,Tuktoyaktuk,CA,2022-11-19 18:06:14,69.4541,-133.0374,23.88,95,100,13.73
108,Port Hedland,AU,2022-11-19 18:06:14,-20.3167,118.5667,78.48,53,98,7.2
109,Riyadh,SA,2022-11-19 18:04:33,24.6877,46.7219,69.94,49,19,15.77
110,Petropavlovsk-Kamchatskiy,RU,2022-11-19 18:06:15,53.0452,158.6483,15.53,72,22,9.1
111,Hailey,US,2022-11-19 18:06:15,43.5196,-114.3153,24.89,63,0,8.05
112,Paris,FR,2022-11-19 18:04:04,48.8534,2.3488,49.1,86,75,4.61
113,Aripuana,BR,2022-11-19 18:03:14,-9.1667,-60.6333,81.54,72,100,2.64
114,Nasirabad,IN,2022-11-19 18:06:16,26.3,74.7333,64.74,32,1,5.26
115,Aklavik,CA,2022-11-19 18:06:17,68.2191,-135.0107,30.2,100,100,2.3
116,Gazimurskiy Zavod,RU,2022-11-19 18:06:17,51.5461,118.3266,11.79,94,100,6.44
117,Yangjiang,CN,2022-11-19 18:04:43,21.85,111.9667,72.43,86,100,3.15
118,Charters Towers,AU,2022-11-19 18:06:18,-20.1,146.2667,75.38,84,32,12.55
119,Bathsheba,BB,2022-11-19 18:06:18,13.2167,-59.5167,86.61,66,40,21.85
120,Nalut,LY,2022-11-19 18:06:19,30.3333,10.85,69.67,17,96,10.98
121,Khatanga,RU,2022-11-19 18:06:19,71.9667,102.5,-35.27,99,100,1.12
122,Choma,ZM,2022-11-19 18:06:19,-16.8065,26.9531,74.19,20,2,4.05
123,Den Helder,NL,2022-11-19 18:06:20,52.9599,4.7593,35.98,75,1,10.36
124,Praia Da Vitoria,PT,2022-11-19 18:06:20,38.7333,-27.0667,66.76,83,60,8.28
125,Salinopolis,BR,2022-11-19 18:06:21,-0.6136,-47.3561,84.11,65,43,10.33
126,Sadon,RU,2022-11-19 18:06:21,42.8518,44.0037,45.36,79,40,8.46
127,Loughrea,IE,2022-11-19 18:06:21,53.1969,-8.5669,47.44,89,100,9.33
128,Port Alfred,ZA,2022-11-19 18:02:53,-33.5906,26.891,59.18,88,3,13.38
129,Inirida,CO,2022-11-19 18:06:22,3.8653,-67.9239,87.91,57,91,3.47
130,Atagay,RU,2022-11-19 18:06:22,55.1033,99.3875,9.72,93,21,3.87
131,Glendive,US,2022-11-19 18:06:23,47.1053,-104.7125,22.48,83,0,11.5
132,Ketchikan,US,2022-11-19 18:06:23,55.3422,-131.6461,40.39,59,100,4.79
133,Solano,US,2022-11-19 18:06:23,38.2333,-121.9511,60.22,24,0,20.71
134,Hambantota,LK,2022-11-19 18:02:51,6.1241,81.1185,78.57,82,98,4.41
135,Hithadhoo,MV,2022-11-19 18:01:44,-0.6,73.0833,80.85,79,25,9.37
136,Butaritari,KI,2022-11-19 18:01:45,3.0707,172.7902,80.53,78,81,18.54
137,Slave Lake,CA,2022-11-19 18:07:24,55.2834,-114.769,33.78,32,0,24.16
138,Broome,US,2022-11-19 18:07:25,42.2506,-75.833,33.46,56,75,12.66
139,Gouyave,GD,2022-11-19 18:07:25,12.1646,-61.7296,80.08,78,7,17.94
140,Mindelo,CV,2022-11-19 18:07:25,16.8901,-24.9804,78.35,61,75,25.32
141,Saint-Augustin,CA,2022-11-19 18:07:26,51.226,-58.6502,27.81,84,73,7.78
142,Dumas,US,2022-11-19 18:07:27,35.8656,-101.9732,40.6,19,0,9.22
143,Sao Joao Da Barra,BR,2022-11-19 18:07:27,-21.6403,-41.0511,78.89,59,88,12.68
144,Pisco,PE,2022-11-19 18:07:28,-13.7,-76.2167,70.02,73,0,11.5
145,Axim,GH,2022-11-19 18:07:28,4.8699,-2.2405,79.74,78,76,7.29
146,Hasaki,JP,2022-11-19 18:07:29,35.7333,140.8333,51.22,55,95,11.52
147,Husavik,IS,2022-11-19 18:07:29,66.0449,-17.3389,45.12,78,98,25.14
148,Sorada,IN,2022-11-19 18:07:29,19.75,84.4333,61.95,64,68,3.76
149,Constitucion,CL,2022-11-19 18:01:43,-35.3333,-72.4167,66.07,58,30,17.83
150,Atar,MR,2022-11-19 18:07:30,20.5169,-13.0499,78.53,29,1,13.11
151,Belaya Gora,RU,2022-11-19 18:07:31,68.5333,146.4167,-28.21,100,81,3.53
152,Verkhoshizhemye,RU,2022-11-19 18:07:31,58.011,49.1038,14.88,80,6,5.77
153,Talnakh,RU,2022-11-19 18:07:32,69.4865,88.3972,-2.76,99,100,4.85
154,Haines Junction,CA,2022-11-19 18:07:32,60.7522,-137.5108,16.84,83,100,1.16
155,Clyde River,CA,2022-11-19 18:07:33,70.4692,-68.5914,-18.29,94,38,2.19
156,Tuatapere,NZ,2022-11-19 18:07:33,-46.1333,167.6833,51.98,94,49,2.19
157,Kodiak,US,2022-11-19 18:07:33,57.79,-152.4072,44.11,87,100,27.63
158,Ust-Tsilma,RU,2022-11-19 18:07:34,65.441,52.1498,25.61,91,100,13.4
159,Lazaro Cardenas,MX,2022-11-19 18:07:34,17.9583,-102.2,84.18,61,90,4.38
160,Pevek,RU,2022-11-19 18:02:50,69.7008,170.3133,-9.72,96,100,2.17
161,Upernavik,GL,2022-11-19 18:07:35,72.7868,-56.1549,12.99,87,85,12.15
162,Kozhva,RU,2022-11-19 18:07:35,65.1073,57.0459,23.22,95,100,10.49
163,Jardim,BR,2022-11-19 18:04:33,-21.4803,-56.1381,101.1,17,0,5.3
164,Longyan,CN,2022-11-19 18:07:36,25.1072,117.0225,67.69,91,93,1.92
165,Okhotsk,RU,2022-11-19 18:07:36,59.3833,143.3,2.26,74,64,8.3
166,Dunedin,NZ,2022-11-19 18:07:36,-45.8742,170.5036,52.81,94,100,1.63
167,Safranbolu,TR,2022-11-19 18:07:37,41.2508,32.6942,56.88,69,64,2.08
168,Agadez,NE,2022-11-19 18:07:37,19.75,10.25,69.1,16,84,4.61
169,Lavrentiya,RU,2022-11-19 18:07:38,65.5833,-171.0,22.15,91,100,5.28
170,Tiznit,MA,2022-11-19 18:07:38,29.5833,-9.5,65.48,60,19,2.17
171,Tiksi,RU,2022-11-19 18:07:39,71.6872,128.8694,-8.7,96,100,5.26
172,Kungurtug,RU,2022-11-19 18:07:39,50.5994,97.5228,-0.74,95,67,1.41
173,Byron Bay,AU,2022-11-19 18:07:39,-28.65,153.6167,68.94,87,5,15.66
174,Barrow,US,2022-11-19 18:02:06,71.2906,-156.7887,26.62,74,100,21.85
175,Tasiilaq,GL,2022-11-19 18:07:40,65.6145,-37.6368,35.76,70,100,12.55
176,Tazovskiy,RU,2022-11-19 18:07:40,67.4667,78.7,-24.7,100,90,4.81
177,Monrovia,LR,2022-11-19 18:07:41,6.3005,-10.7969,80.01,73,100,5.48
178,Anadyr,RU,2022-11-19 18:07:41,64.75,177.4833,-18.26,99,67,6.51
179,Chimbote,PE,2022-11-19 18:06:02,-9.0853,-78.5783,68.5,72,93,9.15
180,Ouegoa,NC,2022-11-19 18:07:42,-20.35,164.4333,73.53,83,34,5.97
